Accession;Gene Symbol;Description;Contaminant;Marked as;# Peptides;# PSMs;# Unique Peptides;# Protein Groups;Biological Process;Cellular Component;Molecular Function;Entrez Gene ID;Ensembl Gene ID;KEGG Pathways;WikiPathways;# Razor Peptides;Abundance Ratio: (LIF) / (Control);Abundance Ratio P-Value: (LIF) / (Control);Abundance Ratio Adj. P-Value: (LIF) / (Control);Abundances (Grouped): Control;Abundances (Grouped): LIF;Abundances (Grouped) CV [%]: Control;Abundances (Grouped) CV [%]: LIF;Modifications
P58006;Sesn1;Sestrin-1 OS=Mus musculus OX=10090 GN=Sesn1 PE=1 SV=3;FALSE;Mouse;1;1;1;1;"cell communication;metabolic process;regulation of biological process;response to stimulus";"cytoplasm;nucleus";"antioxidant activity;catalytic activity;protein binding";140742;ENSMUSG00000038332.13;"p53 signaling pathway; Longevity regulating pathway";miRNA regulation of DNA Damage Response;0;1.079;0.931598491;0.987770918;96.2;103.8;13.21;21.01;
P58021;Tm9sf2;Transmembrane 9 superfamily member 2 OS=Mus musculus OX=10090 GN=Tm9sf2 PE=1 SV=1;FALSE;Mouse;5;11;5;1;transport;"endosome;membrane";;68059;ENSMUSG00000025544.13;;;0;0.974;0.528150687;0.89784396;101.3;98.7;12.86;2.88;
P58044;"Idi1; LOC102635781; Gm38481";Isopentenyl-diphosphate Delta-isomerase 1 OS=Mus musculus OX=10090 GN=Idi1 PE=1 SV=1;FALSE;Mouse;5;30;5;1;"metabolic process;response to stimulus";mitochondrion;"catalytic activity;metal ion binding";"319554; 102635781";;"Metabolic pathways; Terpenoid backbone biosynthesis";"Exercise-induced Circadian Regulation; Cholesterol Biosynthesis; Exercise-induced Circadian Regulation";0;0.939;0.832990427;0.963229186;103.2;96.8;16.03;6.78;
P58058;Nadk;NAD kinase OS=Mus musculus OX=10090 GN=Nadk PE=1 SV=2;FALSE;Mouse;1;3;1;1;metabolic process;cytosol;"catalytic activity;metal ion binding;nucleotide binding";192185;ENSMUSG00000029063.16;"Metabolic pathways; Nicotinate and nicotinamide metabolism";;0;0.992;0.844837873;0.966049014;100.4;99.6;6.62;6.99;
P58059;Mrps21;28S ribosomal protein S21, mitochondrial OS=Mus musculus OX=10090 GN=Mrps21 PE=1 SV=1;FALSE;Mouse;1;1;1;1;"cell organization and biogenesis;metabolic process";"membrane;mitochondrion;ribosome";"RNA binding;structural molecule activity";66292;ENSMUSG00000054312.6;Ribosome;;0;1.141;0.241290416;0.858136371;93.4;106.6;13.79;6.3;
P58064;Mrps6;28S ribosomal protein S6, mitochondrial OS=Mus musculus OX=10090 GN=Mrps6 PE=1 SV=3;FALSE;Mouse;3;4;3;1;"cell organization and biogenesis;metabolic process";"mitochondrion;ribosome";"RNA binding;structural molecule activity";121022;ENSMUSG00000039680.9;Ribosome;;0;0.987;0.666507222;0.926981189;100.7;99.3;6.67;5.12;
P58137;Acot8;Acyl-coenzyme A thioesterase 8 OS=Mus musculus OX=10090 GN=Acot8 PE=1 SV=1;FALSE;Mouse;1;2;1;1;"cell organization and biogenesis;metabolic process;regulation of biological process";"cytoplasm;mitochondrion;organelle lumen";"catalytic activity;protein binding";170789;ENSMUSG00000017307.15;"Metabolic pathways; Primary bile acid biosynthesis; Peroxisome";;0;0.959;0.392834456;0.880165174;102.1;97.9;1.67;8.47;
P58242;Smpdl3b;Acid sphingomyelinase-like phosphodiesterase 3b OS=Mus musculus OX=10090 GN=Smpdl3b PE=1 SV=1;FALSE;Mouse;2;2;2;1;"defense response;metabolic process;regulation of biological process;response to stimulus";"extracellular;membrane";"catalytic activity;metal ion binding;protein binding";100340;ENSMUSG00000028885.8;;;0;1.028;0.530086125;0.89784396;98.6;101.4;13.72;4.97;
P58252;Eef2;Elongation factor 2 OS=Mus musculus OX=10090 GN=Eef2 PE=1 SV=2;FALSE;Mouse;34;442;33;1;"cell differentiation;cell proliferation;metabolic process;regulation of biological process;response to stimulus";"cytoplasm;cytosol;membrane;nucleus;ribosome";"catalytic activity;nucleotide binding;protein binding;RNA binding";13629;ENSMUSG00000034994.10;"Oxytocin signaling pathway; AMPK signaling pathway";Translation Factors;1;0.92;0.071988212;0.858136371;104.1;95.9;6.35;3.25;
P58281;Opa1;Dynamin-like 120 kDa protein, mitochondrial OS=Mus musculus OX=10090 GN=Opa1 PE=1 SV=1;FALSE;Mouse;20;31;20;1;"cell death;cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus;transport";"cytosol;membrane;mitochondrion";"catalytic activity;nucleotide binding;protein binding";74143;ENSMUSG00000038084.16;;;0;0.949;0.237025091;0.858136371;102.6;97.4;3.02;4.7;
P58389;"Ppp2r4; Ptpa";Serine/threonine-protein phosphatase 2A activator OS=Mus musculus OX=10090 GN=Ptpa PE=1 SV=1;FALSE;Mouse;11;29;11;1;"cell organization and biogenesis;metabolic process;regulation of biological process";"cytoplasm;nucleus";"catalytic activity;enzyme regulator activity;nucleotide binding;protein binding";110854;ENSMUSG00000039515.11;Insulin resistance;"Wnt Signaling Pathway and Pluripotency; Glycogen Metabolism; IL-6 signaling Pathway";0;0.935;0.070259841;0.858136371;103.4;96.6;3.4;1.66;
P58404;Strn4;Striatin-4 OS=Mus musculus OX=10090 GN=Strn4 PE=1 SV=2;FALSE;Mouse;6;9;6;1;;"cytoplasm;membrane";protein binding;97387;ENSMUSG00000030374.15;;;0;1.004;0.871784691;0.970430815;99.8;100.2;1.29;8.44;
P58462;Foxp1;Forkhead box protein P1 OS=Mus musculus OX=10090 GN=Foxp1 PE=1 SV=1;FALSE;Mouse;5;9;5;1;"cell differentiation;cell organization and biogenesis;cellular component movement;metabolic process;regulation of biological process;response to stimulus;transport";"cytoplasm;nucleus";"DNA binding;metal ion binding;protein binding";108655;ENSMUSG00000030067.17;;;0;1.029;0.867546618;0.970430815;98.6;101.4;11.51;9.71;
P58466;Ctdsp1;Carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 1 OS=Mus musculus OX=10090 GN=Ctdsp1 PE=1 SV=1;FALSE;Mouse;1;1;1;1;"metabolic process;regulation of biological process";nucleus;"catalytic activity;metal ion binding;protein binding";227292;ENSMUSG00000026176.13;;;0;0.864;0.304805709;0.866856602;107.3;92.7;13.4;11.35;
P58468;"1810008A18Rik; Fam207a";Protein FAM207A OS=Mus musculus OX=10090 GN=Fam207a PE=1 SV=1;FALSE;Mouse;3;3;3;1;;;;108707;ENSMUSG00000032977.9;;;0;1.147;0.193037193;0.858136371;93.1;106.9;13.65;5.98;
P58501;"Gcfc1; Paxbp1";PAX3- and PAX7-binding protein 1 OS=Mus musculus OX=10090 GN=Paxbp1 PE=1 SV=3;FALSE;Mouse;4;6;4;1;"metabolic process;regulation of biological process";"cytosol;nucleus";"DNA binding;protein binding";67367;ENSMUSG00000022974.12;;;0;0.997;0.820106486;0.960270307;100.2;99.8;5.53;4.83;
P58742;Aaas;Aladin OS=Mus musculus OX=10090 GN=Aaas PE=1 SV=1;FALSE;Mouse;3;9;3;1;"response to stimulus;transport";"cytosol;membrane;nucleus";protein binding;223921;ENSMUSG00000036678.7;RNA transport;;0;0.915;0.061909957;0.858136371;104.4;95.6;6.78;6.61;
P58771;Tpm1;Tropomyosin alpha-1 chain OS=Mus musculus OX=10090 GN=Tpm1 PE=1 SV=1;FALSE;Mouse;29;215;9;1;"cell organization and biogenesis;cellular component movement;regulation of biological process;response to stimulus";"cytoplasm;cytoskeleton;cytosol";"protein binding;structural molecule activity";22003;ENSMUSG00000032366.15;"Hypertrophic cardiomyopathy (HCM); MicroRNAs in cancer; Dilated cardiomyopathy; Cardiac muscle contraction; Adrenergic signaling in cardiomyocytes";Striated Muscle Contraction;21;1.146;0.069831277;0.858136371;93.2;106.8;5.44;1.43;
P58774;Tpm2;Tropomyosin beta chain OS=Mus musculus OX=10090 GN=Tpm2 PE=1 SV=1;FALSE;Mouse;28;183;13;1;"cell organization and biogenesis;regulation of biological process";"cytoplasm;cytoskeleton";"protein binding;structural molecule activity";22004;ENSMUSG00000028464.16;"Hypertrophic cardiomyopathy (HCM); Dilated cardiomyopathy; Cardiac muscle contraction; Adrenergic signaling in cardiomyocytes";Striated Muscle Contraction;0;1.048;0.441554289;0.885768536;97.7;102.3;8.16;0.89;
P58801;Ripk2;Receptor-interacting serine/threonine-protein kinase 2 OS=Mus musculus OX=10090 GN=Ripk2 PE=1 SV=1;FALSE;Mouse;6;8;6;1;"cell death;cell proliferation;defense response;metabolic process;regulation of biological process;response to stimulus";"cytoplasm;cytoskeleton;cytosol";"catalytic activity;nucleotide binding;protein binding;signal transducer activity";192656;ENSMUSG00000041135.15;"NOD-like receptor signaling pathway; Tuberculosis; Neurotrophin signaling pathway";"FAS pathway and Stress induction of HSP regulation; TNF-alpha NF-kB Signaling Pathway";0;0.929;0.272273268;0.862578915;103.7;96.3;8.54;5.97;
P58802;Tbc1d10a;TBC1 domain family member 10A OS=Mus musculus OX=10090 GN=Tbc1d10a PE=1 SV=1;FALSE;Mouse;3;4;3;1;"metabolic process;regulation of biological process;transport";"cytosol;membrane";"enzyme regulator activity;protein binding";103724;ENSMUSG00000034412.13;;;0;1.034;0.680627423;0.930878699;98.3;101.7;2.01;4.27;
P58854;Tubgcp3;Gamma-tubulin complex component 3 OS=Mus musculus OX=10090 GN=Tubgcp3 PE=1 SV=2;FALSE;Mouse;7;7;7;1;cell organization and biogenesis;"cytoplasm;cytoskeleton;membrane";"protein binding;structural molecule activity";259279;ENSMUSG00000000759.14;;;0;0.923;0.110171456;0.858136371;104;96;5.49;6.32;
P58929;Gmeb2;Glucocorticoid modulatory element-binding protein 2 OS=Mus musculus OX=10090 GN=Gmeb2 PE=2 SV=2;FALSE;Mouse;1;1;1;1;"metabolic process;regulation of biological process";"cytoplasm;cytosol;nucleus";"DNA binding;metal ion binding";229004;ENSMUSG00000038705.13;;;0;1.05;0.284974984;0.862578915;97.6;102.4;11.42;3.39;
P59016;Vps33b;Vacuolar protein sorting-associated protein 33B OS=Mus musculus OX=10090 GN=Vps33b PE=1 SV=1;FALSE;Mouse;3;4;3;1;"cell organization and biogenesis;metabolic process;regulation of biological process;transport";"cytoplasm;endosome;Golgi;membrane;vacuole";protein binding;233405;ENSMUSG00000030534.13;;;0;0.982;0.931535649;0.987770918;100.9;99.1;11.32;6.06;
P59017;Bcl2l13;Bcl-2-like protein 13 OS=Mus musculus OX=10090 GN=Bcl2l13 PE=1 SV=2;FALSE;Mouse;7;13;7;1;"cell death;regulation of biological process";"membrane;mitochondrion";;94044;ENSMUSG00000009112.4;Legionellosis;;0;0.956;0.565648494;0.905182476;102.2;97.8;4.78;0.46;
P59024;Fkbp14;Peptidyl-prolyl cis-trans isomerase FKBP14 OS=Mus musculus OX=10090 GN=Fkbp14 PE=1 SV=1;FALSE;Mouse;4;5;4;1;metabolic process;"cytoplasm;endoplasmic reticulum;organelle lumen";"catalytic activity;metal ion binding";231997;ENSMUSG00000038074.16;;;0;1.076;0.44257807;0.885768536;96.3;103.7;3.4;12.73;
P59108;Cpne2;Copine-2 OS=Mus musculus OX=10090 GN=Cpne2 PE=1 SV=1;FALSE;Mouse;8;24;7;1;response to stimulus;"cytoplasm;membrane;nucleus";protein binding;234577;ENSMUSG00000034361.10;;;0;0.848;0.491545884;0.890367513;108.2;91.8;12.53;22.44;
P59110;Senp1;Sentrin-specific protease 1 OS=Mus musculus OX=10090 GN=Senp1 PE=1 SV=1;FALSE;Mouse;3;4;3;1;"development;metabolic process;regulation of biological process;response to stimulus";"cytoplasm;membrane;nucleus";"catalytic activity;protein binding";223870;ENSMUSG00000033075.17;;;0;0.829;0.32738809;0.869561766;109.4;90.6;9.44;25.83;
P59114;Pcif1;Phosphorylated CTD-interacting factor 1 OS=Mus musculus OX=10090 GN=Pcif1 PE=1 SV=1;FALSE;Mouse;1;1;1;1;regulation of biological process;"cytoskeleton;nucleus";protein binding;228866;ENSMUSG00000039849.5;;;0;0.906;0.033394569;0.858136371;104.9;95.1;4.66;2.78;
P59222;Scarf2;Scavenger receptor class F member 2 OS=Mus musculus OX=10090 GN=Scarf2 PE=1 SV=1;FALSE;Mouse;1;2;1;1;transport;membrane;receptor activity;224024;ENSMUSG00000012017.3;;;0;;;;;;;;
P59235;Nup43;Nucleoporin Nup43 OS=Mus musculus OX=10090 GN=Nup43 PE=1 SV=2;FALSE;Mouse;4;9;4;1;"cell division;transport";"chromosome;nucleus";protein binding;69912;ENSMUSG00000040034.15;RNA transport;;0;0.924;0.577849811;0.908762227;104;96;12.13;4.72;
P59266;Fitm2;Fat storage-inducing transmembrane protein 2 OS=Mus musculus OX=10090 GN=Fitm2 PE=1 SV=1;FALSE;Mouse;1;1;1;1;"cell organization and biogenesis;cellular homeostasis;metabolic process;regulation of biological process";"endoplasmic reticulum;membrane;mitochondrion";;228859;ENSMUSG00000048486.6;;;0;1.155;0.845223071;0.966049014;92.8;107.2;23.4;1.12;
P59279;Rab2b;Ras-related protein Rab-2B OS=Mus musculus OX=10090 GN=Rab2b PE=1 SV=1;FALSE;Mouse;7;50;2;1;"regulation of biological process;response to stimulus;transport";"endoplasmic reticulum;Golgi;membrane";"catalytic activity;nucleotide binding";76338;ENSMUSG00000022159.16;;;0;0.907;0.422851984;0.883023288;104.9;95.1;8.4;15.04;
P59325;"Eif5; LOC100047658; LOC102641436";Eukaryotic translation initiation factor 5 OS=Mus musculus OX=10090 GN=Eif5 PE=1 SV=1;FALSE;Mouse;15;64;15;1;"cell organization and biogenesis;metabolic process;regulation of biological process";"cytoplasm;cytosol;membrane";"nucleotide binding;protein binding;RNA binding";"217869; 102641436";ENSMUSG00000021282.16;RNA transport;Translation Factors;0;0.978;0.970132463;0.996820378;101.1;98.9;3.76;4.11;
P59326;Ythdf1;YTH domain-containing family protein 1 OS=Mus musculus OX=10090 GN=Ythdf1 PE=1 SV=1;FALSE;Mouse;11;40;7;1;regulation of biological process;cytoplasm;RNA binding;228994;ENSMUSG00000038848.14;;;2;1.041;0.29283197;0.866856602;98;102;7.82;4.97;
P59328;Wdhd1;WD repeat and HMG-box DNA-binding protein 1 OS=Mus musculus OX=10090 GN=Wdhd1 PE=1 SV=2;FALSE;Mouse;8;12;8;1;"cell organization and biogenesis;metabolic process;regulation of biological process";nucleus;"DNA binding;protein binding;RNA binding";218973;ENSMUSG00000037572.16;;;0;1.028;0.661890083;0.926981189;98.6;101.4;22.61;9.69;
P59438;Hps5;Hermansky-Pudlak syndrome 5 protein homolog OS=Mus musculus OX=10090 GN=Hps5 PE=1 SV=2;FALSE;Mouse;2;2;2;1;"cell organization and biogenesis;coagulation";"cytoplasm;cytosol";protein binding;246694;ENSMUSG00000014418.16;;;0;0.797;0.245615291;0.858136371;111.3;88.7;1.39;17.12;
P59470;Polr3b;DNA-directed RNA polymerase III subunit RPC2 OS=Mus musculus OX=10090 GN=Polr3b PE=1 SV=2;FALSE;Mouse;1;1;1;1;"defense response;metabolic process;regulation of biological process;response to stimulus";nucleus;"catalytic activity;DNA binding;metal ion binding";70428;ENSMUSG00000034453.8;"RNA polymerase; Epstein-Barr virus infection; Metabolic pathways; Purine metabolism; Pyrimidine metabolism; Cytosolic DNA-sensing pathway";"Purine metabolism; Eukaryotic Transcription Initiation";0;;;;;;;;
P59481;Lman2l;VIP36-like protein OS=Mus musculus OX=10090 GN=Lman2l PE=1 SV=1;FALSE;Mouse;2;2;2;1;transport;"endoplasmic reticulum;Golgi;membrane";metal ion binding;214895;ENSMUSG00000001143.13;;;0;1.019;0.5681958;0.905182476;99.1;100.9;2.01;5.95;
P59708;"0610009D07Rik; Sf3b14; Sf3b6";Splicing factor 3B subunit 6 OS=Mus musculus OX=10090 GN=Sf3b6 PE=1 SV=1;FALSE;Mouse;3;7;3;1;metabolic process;"nucleus;spliceosomal complex";RNA binding;66055;ENSMUSG00000037361.8;Spliceosome;mRNA processing;0;0.928;0.526501835;0.89784396;103.7;96.3;9.64;3.68;
P59729;Rin3;Ras and Rab interactor 3 OS=Mus musculus OX=10090 GN=Rin3 PE=1 SV=2;FALSE;Mouse;1;1;1;1;"regulation of biological process;response to stimulus";"cytoplasm;endosome";"enzyme regulator activity;protein binding";217835;ENSMUSG00000044456.16;;;0;0.935;0.425267569;0.883172767;103.3;96.7;3.84;18.18;
P59808;Sash1;SAM and SH3 domain-containing protein 1 OS=Mus musculus OX=10090 GN=Sash1 PE=1 SV=1;FALSE;Mouse;2;2;2;1;"metabolic process;regulation of biological process";membrane;"protein binding;structural molecule activity";70097;;;;0;1.3;0.047291352;0.858136371;86.9;113.1;14.02;12.97;
P59913;Pcmtd1;Protein-L-isoaspartate O-methyltransferase domain-containing protein 1 OS=Mus musculus OX=10090 GN=Pcmtd1 PE=1 SV=1;FALSE;Mouse;4;6;4;1;metabolic process;"cytoplasm;membrane";catalytic activity;319263;ENSMUSG00000051285.17;;;0;0.991;0.90828927;0.981012596;100.4;99.6;20.96;8.99;
P59941;Sirt6;NAD-dependent protein deacetylase sirtuin-6 OS=Mus musculus OX=10090 GN=Sirt6 PE=1 SV=1;FALSE;Mouse;1;1;1;1;"cell growth;cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus";"cytoplasm;nucleus";"catalytic activity;metal ion binding;nucleotide binding";50721;ENSMUSG00000034748.16;Central carbon metabolism in cancer;SREBF and miR33 in cholesterol and lipid homeostasis;0;;;;;;;;
P59997;Kdm2a;Lysine-specific demethylase 2A OS=Mus musculus OX=10090 GN=Kdm2a PE=1 SV=2;FALSE;Mouse;3;5;3;1;"cell differentiation;cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus";nucleus;"catalytic activity;DNA binding;metal ion binding;protein binding";225876;;;;0;1.105;0.966661895;0.996201616;95;105;17.02;9.21;
P59999;Arpc4;Actin-related protein 2/3 complex subunit 4 OS=Mus musculus OX=10090 GN=Arpc4 PE=1 SV=3;FALSE;Mouse;5;34;5;1;"cell organization and biogenesis;regulation of biological process";"cytoplasm;cytoskeleton";"protein binding;structural molecule activity";68089;ENSMUSG00000079426.13;"Endocytosis; Regulation of actin cytoskeleton; Salmonella infection; Fc gamma R-mediated phagocytosis; Bacterial invasion of epithelial cells";;0;0.859;0.205429702;0.858136371;107.6;92.4;14.14;1.92;
P60122;Ruvbl1;RuvB-like 1 OS=Mus musculus OX=10090 GN=Ruvbl1 PE=1 SV=1;FALSE;Mouse;15;65;15;1;"cell division;cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus";"cytosol;nucleus";"catalytic activity;nucleotide binding;protein binding";56505;ENSMUSG00000030079.15;Wnt signaling pathway;Wnt Signaling Pathway NetPath;0;1.027;0.521308794;0.89784396;98.7;101.3;2.75;1.41;
P60229;Eif3e;Eukaryotic translation initiation factor 3 subunit E OS=Mus musculus OX=10090 GN=Eif3e PE=1 SV=1;FALSE;Mouse;14;55;14;1;"cell organization and biogenesis;metabolic process;regulation of biological process";"cytoplasm;cytosol;membrane;nucleus";"protein binding;RNA binding";16341;ENSMUSG00000022336.2;"Hepatitis C; RNA transport";Translation Factors;0;1.02;0.59403762;0.912497087;99;101;18.42;5.45;
P60335;Pcbp1;Poly(rC)-binding protein 1 OS=Mus musculus OX=10090 GN=Pcbp1 PE=1 SV=1;FALSE;Mouse;10;129;6;1;"metabolic process;regulation of biological process";"cytoplasm;cytosol;membrane;nucleus";"DNA binding;protein binding;RNA binding;translation regulator activity";23983;ENSMUSG00000051695.6;Spliceosome;mRNA processing;7;0.98;0.746790302;0.943564924;101;99;4.75;2.38;
P60487;Pdxp;Pyridoxal phosphate phosphatase OS=Mus musculus OX=10090 GN=Pdxp PE=1 SV=1;FALSE;Mouse;2;2;2;1;"cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus";"cytoplasm;cytoskeleton;cytosol;membrane";"catalytic activity;metal ion binding;protein binding";57028;ENSMUSG00000022436.15;"Metabolic pathways; Vitamin B6 metabolism";;0;1.111;0.309396307;0.866856602;94.8;105.2;12.65;7.14;
P60521;Gabarapl2;Gamma-aminobutyric acid receptor-associated protein-like 2 OS=Mus musculus OX=10090 GN=Gabarapl2 PE=1 SV=1;FALSE;Mouse;1;1;1;1;"cell communication;cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus;transport";"cytoplasm;cytosol;Golgi;membrane;vacuole";protein binding;93739;ENSMUSG00000031950.7;"FoxO signaling pathway; GABAergic synapse; NOD-like receptor signaling pathway; Autophagy";;0;1.346;0.170793723;0.858136371;85.2;114.8;12.8;14.89;
P60605;Ube2g2;Ubiquitin-conjugating enzyme E2 G2 OS=Mus musculus OX=10090 GN=Ube2g2 PE=1 SV=1;FALSE;Mouse;2;2;2;1;"metabolic process;response to stimulus";"cytosol;endoplasmic reticulum";"catalytic activity;nucleotide binding;protein binding";22213;ENSMUSG00000009293.17;"Ubiquitin mediated proteolysis; Parkinson's disease; Protein processing in endoplasmic reticulum";Parkinsons Disease Pathway;0;1.031;0.303729469;0.866856602;98.5;101.5;3.65;4.92;
P60670;Nploc4;Nuclear protein localization protein 4 homolog OS=Mus musculus OX=10090 GN=Nploc4 PE=1 SV=3;FALSE;Mouse;14;38;14;1;"cell organization and biogenesis;metabolic process;regulation of biological process;transport";"cytoplasm;cytosol;endoplasmic reticulum;membrane;nucleus";"metal ion binding;protein binding";217365;ENSMUSG00000039703.15;Protein processing in endoplasmic reticulum;;0;1.002;0.67771739;0.930878699;99.9;100.1;5.45;0.7;
P60710;Actb;Actin, cytoplasmic 1 OS=Mus musculus OX=10090 GN=Actb PE=1 SV=1;FALSE;Mouse;23;1577;9;1;"cell organization and biogenesis;response to stimulus";"cytoplasm;cytoskeleton;cytosol;membrane;nucleus";"DNA binding;nucleotide binding;protein binding";11461;ENSMUSG00000029580.14;"Oxytocin signaling pathway; Leukocyte transendothelial migration; Hypertrophic cardiomyopathy (HCM); Regulation of actin cytoskeleton; Arrhythmogenic right ventricular cardiomyopathy (ARVC); Focal adhesion; Hippo signaling pathway; Platelet activation; Dilated cardiomyopathy; Adherens junction; Phagosome; Proteoglycans in cancer; Salmonella infection; Thyroid hormone signaling pathway; Rap1 signaling pathway; Influenza A; Viral myocarditis; Tight junction; Gastric acid secretion; Bacterial invasion of epithelial cells; Apoptosis";"Myometrial Relaxation and Contraction Pathways; Regulation of Actin Cytoskeleton; Focal Adhesion";18;0.962;0.134511594;0.858136371;101.9;98.1;4.32;3.73;
